,0
0,Alaska
1,Connecticut
2,Delaware
3,Hawaii
4,Indiana
5,Iowa
6,Kansas
7,Louisiana
8,Maine
9,Missouri
10,Nebraska
11,New Hampshire
12,New Jersey
13,Oklahoma
14,Rhode Island
15,Vermont
16,Wisconsin
