Time,Open,High,Low,Close,Volume
2013-05-23 0:00:00,15343,15353,15322,15328,60
2013-05-23 1:00:00,15328,15341,15322,15324,60
2013-05-23 2:00:00,15324,15325,15306,15311,60
2013-05-23 3:00:00,15310,15317,15289,15292,60
2013-05-23 4:00:00,15292,15303,15275,15288,60
2013-05-23 5:00:00,15288,15291,15252,15253,60
2013-05-23 6:00:00,15253,15256,15155,15208,60
2013-05-23 7:00:00,15207,15236,15174,15207,60
2013-05-23 8:00:00,15206,15212,15164,15174,60
2013-05-23 9:00:00,15174,15201,15172,15186,60
2013-05-23 10:00:00,15185,15233,15177,15231,60
2013-05-23 11:00:00,15231,15248,15203,15206,60
2013-05-23 12:00:00,15206,15231,15199,15204,60
2013-05-23 13:00:00,15203,15233,15184,15199,60
2013-05-23 14:00:00,15199,15263,15178,15229,60
2013-05-23 15:00:00,15228,15308,15228,15300,60
2013-05-23 16:00:00,15300,15331,15290,15296,60
2013-05-23 17:00:00,15297,15308,15257,15308,60
2013-05-23 18:00:00,15306,15347,15291,15326,60
2013-05-23 19:00:00,15326,15339,15279,15298,60
2013-05-23 20:00:00,15297,15311,15286,15308,43
2013-05-23 21:00:00,15309,15312,15305,15305,11
2013-05-23 22:00:00,15310,15320,15305,15316,60
2013-05-23 23:00:00,15316,15329,15309,15328,60
2013-05-24 0:00:00,15328,15345,15311,15329,60
2013-05-24 1:00:00,15328,15338,15318,15319,59
2013-05-24 2:00:00,15320,15336,15316,15324,60
2013-05-24 3:00:00,15324,15326,15318,15322,46
2013-05-26 22:00:00,15313,15359,15313,15358,59
2013-05-26 23:00:00,15358,15358,15331,15331,58
2013-05-27 0:00:00,15331,15338,15294,15296,60
2013-05-27 1:00:00,15295,15335,15290,15331,60
2013-05-27 2:00:00,15331,15342,15318,15326,60
2013-05-27 3:00:00,15326,15335,15317,15332,60
2013-05-27 4:00:00,15331,15338,15325,15338,60
2013-05-27 5:00:00,15337,15339,15328,15331,60
2013-05-27 6:00:00,15330,15332,15312,15314,60
2013-05-27 7:00:00,15314,15340,15313,15325,60
2013-05-27 8:00:00,15325,15332,15313,15318,60
2013-05-27 9:00:00,15318,15320,15281,15284,58
2013-05-27 10:00:00,15284,15300,15282,15296,60
2013-05-27 11:00:00,15297,15307,15296,15302,46
2013-05-27 12:00:00,15303,15311,15302,15310,39
2013-05-27 13:00:00,15310,15316,15305,15311,60
2013-05-27 14:00:00,15311,15337,15304,15335,60
2013-05-27 15:00:00,15335,15347,15331,15336,30
2013-05-27 22:00:00,15336,15337,15327,15336,56
2013-05-27 23:00:00,15336,15339,15325,15334,56
2013-05-28 0:00:00,15334,15369,15332,15359,60
2013-05-28 1:00:00,15358,15377,15358,15364,60
2013-05-28 2:00:00,15364,15371,15357,15359,60
2013-05-28 3:00:00,15359,15372,15355,15368,60
2013-05-28 4:00:00,15368,15370,15360,15362,60
2013-05-28 5:00:00,15361,15372,15360,15371,60
2013-05-28 6:00:00,15371,15382,15366,15378,60
2013-05-28 7:00:00,15378,15427,15373,15423,60
2013-05-28 8:00:00,15423,15431,15418,15421,60
2013-05-28 9:00:00,15421,15424,15412,15419,60
2013-05-28 10:00:00,15419,15421,15406,15413,60
2013-05-28 11:00:00,15413,15435,15411,15422,60
2013-05-28 12:00:00,15422,15439,15421,15436,60
2013-05-28 13:00:00,15436,15480,15430,15479,60
2013-05-28 14:00:00,15478,15522,15476,15497,60
2013-05-28 15:00:00,15497,15500,15446,15447,60
2013-05-28 16:00:00,15447,15463,15440,15455,60
2013-05-28 17:00:00,15455,15470,15388,15394,60
2013-05-28 18:00:00,15394,15419,15371,15408,60
2013-05-28 19:00:00,15408,15435,15392,15408,60
2013-05-28 20:00:00,15408,15414,15375,15399,44
2013-05-28 21:00:00,15394,15395,15392,15393,10
2013-05-28 22:00:00,15380,15386,15368,15382,60
2013-05-28 23:00:00,15382,15393,15381,15391,58
2013-05-29 0:00:00,15391,15395,15365,15379,60
2013-05-29 1:00:00,15380,15382,15362,15374,60
2013-05-29 2:00:00,15374,15381,15373,15378,60
2013-05-29 3:00:00,15378,15382,15372,15381,60
2013-05-29 4:00:00,15381,15403,15381,15401,60
2013-05-29 5:00:00,15401,15402,15362,15362,60
2013-05-29 6:00:00,15362,15371,15346,15346,60
2013-05-29 7:00:00,15347,15350,15319,15332,60
2013-05-29 8:00:00,15332,15353,15325,15327,60
2013-05-29 9:00:00,15327,15348,15321,15347,60
2013-05-29 10:00:00,15347,15348,15293,15297,60
2013-05-29 11:00:00,15297,15311,15281,15293,60
2013-05-29 12:00:00,15293,15326,15287,15313,60
